"finyear","lgdstatecode","statename","lgddistrictcode","districtname","schemecode","totalbeneficiaries","totalmale","totalfemale","totaltransgender","totalsc","totalst","totalgen","totalobc","totalaadhaar","totalmpbilenumber"
"2025-2026","1","JAMMU AND KASHMIR","1","ANANTNAG","IGNDPS",107,71,36,0,0,2,104,1,107,69
"2025-2026","1","JAMMU AND KASHMIR","1","ANANTNAG","IGNOAPS",8393,5037,3356,0,37,232,8039,85,8327,7162
"2025-2026","1","JAMMU AND KASHMIR","1","ANANTNAG","IGNWPS",203,0,203,0,1,15,181,6,201,160
"2025-2026","1","JAMMU AND KASHMIR","10","POONCH","IGNDPS",310,211,99,0,0,77,200,33,234,110
"2025-2026","1","JAMMU AND KASHMIR","10","POONCH","IGNOAPS",5959,3959,2000,0,2,1347,4368,242,3873,2287
"2025-2026","1","JAMMU AND KASHMIR","10","POONCH","IGNWPS",382,0,382,0,0,65,298,19,260,90
"2025-2026","1","JAMMU AND KASHMIR","11","PULWAMA","IGNDPS",95,63,32,0,0,6,81,8,94,93
"2025-2026","1","JAMMU AND KASHMIR","11","PULWAMA","IGNOAPS",5037,2922,2115,0,1,197,4458,381,5037,4950
"2025-2026","1","JAMMU AND KASHMIR","11","PULWAMA","IGNWPS",304,0,304,0,0,20,260,24,304,258
"2025-2026","1","JAMMU AND KASHMIR","12","RAJAURI","IGNDPS",77,52,25,0,5,5,67,0,71,2
"2025-2026","1","JAMMU AND KASHMIR","12","RAJAURI","IGNOAPS",8753,4873,3879,1,14,470,8237,32,8081,932
"2025-2026","1","JAMMU AND KASHMIR","12","RAJAURI","IGNWPS",380,0,380,0,0,15,364,1,365,34
"2025-2026","1","JAMMU AND KASHMIR","13","SRINAGAR","IGNDPS",124,77,47,0,0,0,124,0,123,96
"2025-2026","1","JAMMU AND KASHMIR","13","SRINAGAR","IGNOAPS",5357,3198,2159,0,0,1,5355,1,5356,3715
"2025-2026","1","JAMMU AND KASHMIR","13","SRINAGAR","IGNWPS",607,0,607,0,0,1,605,1,607,291
"2025-2026","1","JAMMU AND KASHMIR","14","UDHAMPUR","IGNDPS",26,19,7,0,5,1,19,1,24,10
"2025-2026","1","JAMMU AND KASHMIR","14","UDHAMPUR","IGNOAPS",5747,2940,2807,0,950,375,4319,103,4897,2545
"2025-2026","1","JAMMU AND KASHMIR","14","UDHAMPUR","IGNWPS",356,0,356,0,85,17,241,13,250,127
"2025-2026","1","JAMMU AND KASHMIR","2","BADGAM","IGNDPS",119,69,50,0,1,0,115,3,119,106
